Designator,Mid X,Mid Y,Rotation,Layer
D82,133.34928,-28.575,0,bottom
D83,152.399136,-28.575,0,bottom
D84,171.448992,-28.575,0,bottom
D85,190.498848,-28.575,0,bottom
D86,209.548704,-28.575,0,bottom
D87,228.59856,-28.575,0,bottom
D88,247.648416,-28.575,0,bottom
D89,271.460736,-28.575,0,bottom
D9,154.483464,-13.096864,90,bottom
D90,16.668912,-47.624856,0,bottom
D91,42.862464,-47.624856,0,bottom
D92,61.91232,-47.624856,0,bottom
D93,80.962176,-47.624856,0,bottom
D94,100.012032,-47.624856,0,bottom
D95,119.061888,-47.624856,0,bottom
D96,138.111744,-47.624856,0,bottom
D97,157.1616,-47.624856,0,bottom
D98,176.211456,-47.624856,0,bottom
D99,195.261312,-47.624856,0,bottom
F1,19.049984,-17.264048,180,bottom
K1,9.525216,-9.525144,180,bottom
K10,180.97392,-9.525144,0,bottom
K11,200.023776,-9.525144,0,bottom
K12,219.073632,-9.525144,0,bottom
K13,238.123488,-9.525144,0,bottom
K14,266.698272,-9.525144,0,bottom
K15,14.28768,-28.575,0,bottom
K16,38.1,-28.575,0,bottom
K17,57.149856,-28.575,0,bottom
K18,76.199712,-28.575,0,bottom
K19,95.249568,-28.575,0,bottom
K2,28.575072,-9.525144,180,bottom
K20,114.299424,-28.575,0,bottom
K21,133.34928,-28.575,0,bottom
K22,152.399136,-28.575,0,bottom
K23,171.448992,-28.575,0,bottom
K24,190.498848,-28.575,0,bottom
K25,209.548704,-28.575,0,bottom
K26,228.59856,-28.575,0,bottom
K27,247.648416,-28.575,0,bottom
K28,271.460736,-28.575,0,bottom
K29,16.668912,-47.624856,0,bottom
K3,47.624928,-9.525144,0,bottom
K30,42.862464,-47.624856,0,bottom
K31,61.91232,-47.624856,0,bottom
K32,80.962176,-47.624856,0,bottom
K33,100.012032,-47.624856,0,bottom
K34,119.061888,-47.624856,0,bottom
K35,138.111744,-47.624856,0,bottom
K36,157.1616,-47.624856,0,bottom
K37,176.211456,-47.624856,0,bottom
K38,195.261312,-47.624856,0,bottom
K39,214.311168,-47.624856,0,bottom
K4,66.674784,-9.525144,0,bottom
K40,233.361024,-47.624856,0,bottom
K41,264.31704,-47.624856,0,bottom
K42,21.431376,-66.674712,0,bottom
K43,52.387392,-66.674712,0,bottom
K44,71.437248,-66.674712,0,bottom
K45,90.487104,-66.674712,0,bottom
K46,109.53696,-66.674712,0,bottom
K47,128.586816,-66.674712,0,bottom
K48,147.636672,-66.674712,0,bottom
K49,166.686528,-66.674712,0,bottom
K5,85.72464,-9.525144,0,bottom
K50,185.736384,-66.674712,0,bottom
K51,204.78624,-66.674712,0,bottom
K52,223.836096,-66.674712,0,bottom
K53,259.554576,-66.674712,0,bottom
K54,11.906448,-85.724568,0,bottom
K55,35.718768,-85.724568,0,bottom
K56,59.531088,-85.724568,0,bottom
K57,130.968048,-85.724568,0,bottom
K58,202.405008,-85.724568,0,bottom
K59,226.217328,-85.724568,0,bottom
K6,104.774496,-9.525144,0,bottom
K60,250.029648,-85.724568,0,bottom
K61,273.841968,-85.724568,0,bottom
K7,123.824352,-9.525144,0,bottom
K8,142.874208,-9.525144,0,bottom
K9,161.924064,-9.525144,0,bottom
R1,38.22,-61.59,270,bottom
R2,37.37,-61.59,270,bottom
R4,44.93,-58.77,180,bottom
R7,18.15,-8.72,90,bottom
R8,20,-8.72,90,bottom
SW1,29.765688,-47.624856,90,bottom
U2,38.993432,-67.865568,180,bottom
U3,44.06,-60.55,180,bottom
U4,19.07,-14.8828,0,bottom
U5,46.73,-57.55,180,bottom
USB1,18.57488,1.190624,0,bottom
Y1,39.398,-75.49,270,bottom
