Designator,Mid X,Mid Y,Rotation,Layer
K68,38.100032,-85.725072,180,bottom
K69,61.912552,-85.725072,180,bottom
K7,123.824352,-9.525144,0,bottom
K70,142.87512,-85.725072,180,bottom
K71,223.837688,-85.725072,0,bottom
K72,247.650208,-85.724568,0,bottom
K73,271.462728,-85.725072,0,bottom
K8,142.874208,-9.525144,0,bottom
K9,161.924064,-9.525144,0,bottom
R1,96.53,-86.45,0,bottom
R2,96.53,-87.39,0,bottom
R3,92.615236,-81.472568,0,bottom
R4,102.45,-92.685,0,bottom
R5,104.325,-92.685,180,bottom
R6,16.69,-7.85,0,bottom
R7,20.95,-7.85,180,bottom
SW1,29.765688,-47.624856,90,bottom
U1,102.988976,-85.724568,270,bottom
U2,91.6425,-83.31,180,bottom
U3,9.47,-2.83,270,bottom
U4,84.913435,-82.519374,270,bottom
USB1,18.576238,1.488054,0,bottom
Y1,111.67,-85.32,0,bottom
